DATE,CPI
1/1/1980,1.434159061
1/2/1980,1.413881748
1/3/1980,1.520912548
1/4/1980,1.123595506
1/5/1980,0.987654321
1/6/1980,1.100244499
1/7/1980,0
1/8/1980,0.725513906
1/9/1980,0.840336134
1/10/1980,0.952380952
1/11/1980,0.825471698
1/12/1980,0.935672515
1/1/1981,0.811123986
1/2/1981,1.034482759
1/3/1981,0.682593857
1/4/1981,0.677966102
1/5/1981,0.785634119
1/6/1981,0.890868597
1/7/1981,1.103752759
1/8/1981,0.76419214
1/9/1981,0.975081257
1/10/1981,0.214592275
1/11/1981,0.321199143
1/12/1981,0.320170758
1/1/1982,0.319148936
1/2/1982,0.318133616
1/3/1982,-0.105708245
1/4/1982,0.423280423
1/5/1982,0.948366702
1/6/1982,1.252609603
1/7/1982,0.515463918
1/8/1982,0.205128205
1/9/1982,0.204708291
1/10/1982,0.306435138
1/11/1982,-0.203665988
1/12/1982,-0.408163265
1/1/1983,0.204918033
1/2/1983,0.102249489
1/3/1983,0
1/4/1983,0.715015322
1/5/1983,0.60851927
1/6/1983,0.302419355
1/7/1983,0.40201005
1/8/1983,0.3003003
1/9/1983,0.499001996
1/10/1983,0.297914598
1/11/1983,0.198019802
1/12/1983,0.098814229
1/1/1984,0.592300099
1/2/1984,0.490677134
1/3/1984,0.1953125
1/4/1984,0.487329435
1/5/1984,0.290979631
1/6/1984,0.290135397
1/7/1984,0.385728062
1/8/1984,0.384245917
1/9/1984,0.4784689
1/10/1984,0.285714286
1/11/1984,0
1/12/1984,0
1/1/1985,0.189933523
1/2/1985,0.473933649
1/3/1985,0.377358491
1/4/1985,0.469924812
1/5/1985,0.374181478
1/6/1985,0.279589935
1/7/1985,0.185873606
1/8/1985,0.185528757
1/9/1985,0.277777778
1/10/1985,0.369344414
1/11/1985,0.27598896
1/12/1985,0.275229358
1/1/1986,0.274473925
1/2/1986,-0.273722628
1/3/1986,-0.457456542
1/4/1986,-0.183823529
1/5/1986,0.276243094
1/6/1986,0.550964187
1/7/1986,0
1/8/1986,0.182648402
1/9/1986,0.455788514
1/10/1986,0.090744102
1/11/1986,0.090661831
1/12/1986,0.09057971
1/1/1987,0.633484163
1/2/1987,0.35971223
1/3/1987,0.448028674
1/4/1987,0.535236396
1/5/1987,0.354924579
1/6/1987,0.353669319
1/7/1987,0.264317181
1/8/1987,0.527240773
1/9/1987,0.524475524
1/10/1987,0.260869565
1/11/1987,0.086730269
1/12/1987,0
1/1/1988,0.259965338
1/2/1988,0.259291271
1/3/1988,0.431034483
1/4/1988,0.515021459
1/5/1988,0.341588386
1/6/1988,0.425531915
1/7/1988,0.423728814
1/8/1988,0.421940928
1/9/1988,0.672268908
1/10/1988,0.333889816
1/11/1988,0.083194676
1/12/1988,0.166251039
1/1/1989,0.497925311
1/2/1989,0.412881916
1/3/1989,0.575657895
1/4/1989,0.654129191
1/5/1989,0.568643379
1/6/1989,0.242326333
1/7/1989,0.241740532
1/8/1989,0.160771704
1/9/1989,0.321027287
1/10/1989,0.48
1/11/1989,0.238853503
1/12/1989,0.158856235
1/1/1990,1.030927835
1/2/1990,0.470957614
1/3/1990,0.546875
1/4/1990,0.155400155
1/5/1990,0.232738557
1/6/1990,0.541795666
1/7/1990,0.38491147
1/8/1990,0.920245399
1/9/1990,0.835866261
1/10/1990,0.602863602
1/11/1990,0.224719101
1/12/1990,0
1/1/1991,0.597907324
1/2/1991,0.14858841
1/3/1991,0.148367953
1/4/1991,0.148148148
1/5/1991,0.295857988
1/6/1991,0.294985251
1/7/1991,0.147058824
1/8/1991,0.293685756
1/9/1991,0.439238653
1/10/1991,0.145772595
1/11/1991,0.291120815
1/12/1991,0.07256894
1/1/1992,0.145032632
1/2/1992,0.362056481
1/3/1992,0.505050505
1/4/1992,0.143575018
1/5/1992,0.143369176
1/6/1992,0.357909807
1/7/1992,0.213980029
1/8/1992,0.284697509
1/9/1992,0.283889283
1/10/1992,0.353857042
1/11/1992,0.141043724
1/12/1992,-0.070422535
1/1/1993,0.493305144
1/2/1993,0.350631136
1/3/1993,0.34940601
1/4/1993,0.278551532
1/5/1993,0.138888889
1/6/1993,0.138696255
1/7/1993,0
1/8/1993,0.27700831
1/9/1993,0.20718232
1/10/1993,0.413507926
1/11/1993,0.06863418
1/12/1993,0
1/1/1994,0.274348422
1/2/1994,0.341997264
1/3/1994,0.340831629
1/4/1994,0.135869565
1/5/1994,0.067842605
1/6/1994,0.338983051
1/7/1994,0.27027027
1/8/1994,0.404312668
1/9/1994,0.268456376
1/10/1994,0.066934404
1/11/1994,0.133779264
1/12/1994,0
1/1/1995,0.400801603
1/2/1995,0.399201597
1/3/1995,0.331345262
1/4/1995,0.330250991
1/5/1995,0.197498354
1/6/1995,0.197109067
1/7/1995,0
1/8/1995,0.262295082
1/9/1995,0.196206671
1/10/1995,0.326370757
1/11/1995,-0.065061809
1/12/1995,-0.065104167
1/1/1996,0.586319218
1/2/1996,0.323834197
1/3/1996,0.516462234
1/4/1996,0.385356455
1/5/1996,0.19193858
1/6/1996,0.06385696
1/7/1996,0.191448628
1/8/1996,0.191082803
1/9/1996,0.317863954
1/10/1996,0.316856781
1/11/1996,0.189513582
1/12/1996,0
1/1/1997,0.315258512
1/2/1997,0.314267756
1/3/1997,0.250626566
1/4/1997,0.125
1/5/1997,-0.062421973
1/6/1997,0.124921924
1/7/1997,0.124766064
1/8/1997,0.186915888
1/9/1997,0.248756219
1/10/1997,0.248138958
1/11/1997,-0.061881188
1/12/1997,-0.123839009
1/1/1998,0.185988841
1/2/1998,0.185643564
1/3/1998,0.185299568
1/4/1998,0.184956843
1/5/1998,0.184615385
1/6/1998,0.122850123
1/7/1998,0.122699387
1/8/1998,0.12254902
1/9/1998,0.122399021
1/10/1998,0.244498778
1/11/1998,0
1/12/1998,-0.06097561
1/1/1999,0.244051251
1/2/1999,0.121728545
1/3/1999,0.303951368
1/4/1999,0.727272727
1/5/1999,0
1/6/1999,0
1/7/1999,0.300842359
1/8/1999,0.23995201
1/9/1999,0.478755236
1/10/1999,0.178677784
1/11/1999,0.059453032
1/12/1999,0
1/1/2000,0.297088532
1/2/2000,0.592417062
1/3/2000,0.824499411
1/4/2000,0.058411215
1/5/2000,0.116754232
1/6/2000,0.524781341
1/7/2000,0.232018561
1/8/2000,0
1/9/2000,0.520833333
1/10/2000,0.172711572
1/11/2000,0.057471264
1/12/2000,-0.057438254
1/1/2001,0.632183908
1/2/2001,0.399771559
1/3/2001,0.227531286
1/4/2001,0.397275823
1/5/2001,0.4522329
1/6/2001,0.16882386
1/7/2001,-0.280898876
1/8/2001,0
1/9/2001,0.450704225
1/10/2001,-0.336511497
1/11/2001,-0.16882386
1/12/2001,-0.394588501
1/1/2002,0.226372383
1/2/2002,0.395256917
1/3/2002,0.562429696
1/4/2002,0.559284116
1/5/2002,0
1/6/2002,0.055617353
1/7/2002,0.111172874
1/8/2002,0.333148251
1/9/2002,0.166021029
1/10/2002,0.165745856
1/11/2002,0
1/12/2002,-0.220628792
1/1/2003,0.442233278
1/2/2003,0.770500826
1/3/2003,0.60076461
1/4/2003,-0.217155266
1/5/2003,-0.163220892
1/6/2003,0.108991826
1/7/2003,0.108873163
